Dấu thời gian,"A1. Bạn hiện đang học ngành/khoa nào?
(ví dụ: Khoa học máy tính )",A2. Bạn đã nhập học được bao lâu?,A3. Bạn là sinh viên hệ nào?,"B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Học phí, miễn giảm học phí]","B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Đăng ký học phần, kế hoạch học tập]","B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Quy chế đào tạo (tín chỉ, điều kiện tốt nghiệp...)]",B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Ký túc xá],B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Học bổng],B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Điểm rèn luyện],"B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Hoạt động đoàn, hội, câu lạc bộ]",B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Học trực tuyến / miễn công nhận điểm],"B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Thủ tục hành chính (giấy tờ, xác nhận sinh viên...)]","C1. Khi mới nhập học, bạn từng gặp khó khăn hoặc thắc mắc gì nhất?",C2. Bạn thường tìm thông tin ở đâu khi có thắc mắc?,C3. Bạn đánh giá việc tìm thông tin hiện tại (qua các kênh trên) dễ hay khó?,"C4. Nếu có một trợ lý ảo (chatbot) trả lời tự động các thắc mắc, bạn muốn hỏi nó điều gì nhất?",C5. Bạn mong muốn trợ lý ảo trả lời theo hình thức nào?,C6. Góp ý thêm (nếu có)
12/09/2026 12:49:04,Khoa Quản trị kinh doanh,Mới nhập học (chưa hết học kỳ 1),Chính quy,5,4,4,2,5,5,4,5,4,"không biết đăng kí học phần sao cho phù hợp và ở đâu?, phương pháp học phù hợp?, làm tiểu luận là làm như thế nào?, tóm ý để làm slide ra sao?","Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên, Group Facebook / Zalo, Hỏi cố vấn học tập / giảng viên",Bình thường,"- Tóm ý chính trong file ra ý phù hợp để làm thuyết trình, bài luận và hoặc để ôn bài ktra
 - Đưa ra cho tôi lộ trình học phù hợp nhất trong 4 năm đại học
",Trả lời kèm link/nguồn tài liệu tham khảo để đọc thêm,
12/09/2026 12:51:13,Công nghệ Thực phẩm ,Đã học được 1 năm trở lên,Chính quy,4,4,4,4,4,4,4,4,4,Học bổng ,"Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên, Group Facebook / Zalo, Hỏi cố vấn học tập / giảng viên, Hỏi phòng ban liên quan trực tiếp (Đào tạo, CTSV...), Khác",Dễ,"Những lợi ích của chất bột
Những tác hại khi lạm dụng chất bột
Cơ sở hình thành chatbot",Trả lời chi tiết kèm giải thích,
12/09/2026 12:51:46,"Triết học, Khoa KHCT,XH&NV",Đã học được 1 năm trở lên,Chính quy,5,4,4,4,4,4,4,4,4,"Mình không biết ký tự của các dãy nhà học mất khá nhiều thời gian để đi tìm cũng như là không biết đăng ký học phần, cách tính điểm rèn luyện hay điểm gpa,...","Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên",Bình thường,Mình muốn hỏi các ký tự phòng học,Trả lời chi tiết kèm giải thích,
12/09/2026 12:53:33,Ngành sinh học/khoa spkhtn,Mới nhập học (chưa hết học kỳ 1),Chính quy,5,5,5,5,5,5,5,5,5,Không biết về những hồ sơ nhập học ,Website chính thức của trường/khoa,Rất dễ,.,Trả lời chi tiết kèm giải thích,Không có 
12/09/2026 12:57:40,LGBT,Mới nhập học (chưa hết học kỳ 1),Liên kết quốc tế,1,3,1,2,4,1,4,1,5,hay lạc đường ,Website chính thức của trường/khoa,Rất dễ,con gà có trước hay quả trứng ,"Trả lời ngắn gọn, trực tiếp",…
12/09/2026 13:04:43,Khoa kỹ thuật vật liệu,Mới nhập học (chưa hết học kỳ 1),Chính quy,5,4,4,3,5,5,4,3,3,Về các thông tin hoạt động của trường phải lên nhiều hội nhóm facebook và hỏi anh chị khá nhiều ,"Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên, Group Facebook / Zalo, Hỏi cố vấn học tập / giảng viên",Khó,"Về các thông tin của trường như điểm rèn luyện xem ở đâu 
Bệnh xin cố vấn nghĩ được không 
Không tham gia hoạt động tuần đầu có ảnh hưởng điểm rèn luyện không",Trả lời chi tiết kèm giải thích,
12/09/2026 13:09:37,Khoa Chăn nuôi ,Đã học xong học kỳ 1,Chính quy,5,1,1,1,5,5,2,1,2,Trường quá rộng phải coi maps nhìu lần,Website chính thức của trường/khoa,Rất dễ,Cách duy trì ăn uống lành mạnh mà không bị khó chịu? ,Trả lời chi tiết kèm giải thích,
12/09/2026 13:40:28,Quản trị dịch vụ du lịch và lữ hành ,Mới nhập học (chưa hết học kỳ 1),Chính quy,5,5,4,5,5,5,5,5,5,"Không biết đrl là gì, kiếm như thế nào. Làm sao để tham gia clb cũng như là làm sao để được hoa cao ","Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên",Bình thường,"Xin về thông tin clb
Tài liệu học tập",Trả lời kèm link/nguồn tài liệu tham khảo để đọc thêm,Không
12/09/2026 13:40:49,Công nghệ sinh học,Mới nhập học (chưa hết học kỳ 1),Chính quy,4,5,4,2,4,4,3,4,4,Ko biết đường đi và sợ lạc ,"Website chính thức của trường/khoa, Group Facebook / Zalo, Hỏi cố vấn học tập / giảng viên, Hỏi phòng ban liên quan trực tiếp (Đào tạo, CTSV...)",Dễ,Dự đoán tương lai ngành công nghệ sinh học như thế nào? Đầu ra và việc làm như nào? Mức thu nhập là bao nhiêu? ,Trả lời chi tiết kèm giải thích,
12/09/2026 13:47:24,Khoa Khoa Học Đất,Đã học được 1 năm trở lên,Chính quy,5,5,5,3,4,5,3,4,3,Khó khăn trong các thao tác sắp xếp kế hoạch học tập và đăng kí học phần,"Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên, Hỏi cố vấn học tập / giảng viên",Dễ,"Tổng hợp các thông báo mới về quy định ở trường trong năm học mới?
Dựa vào bản điểm và kết quả hiện tại hay tính điểm các môn học còn lại để tôi có thể tốt nghiệp loại giỏi?
Các hoạt động có điểm rèn luyện trong học kỳ này?",Trả lời chi tiết kèm giải thích,
12/09/2026 13:53:49,Y học cổ truyền,Đã học được 1 năm trở lên,Chính quy,5,4,4,1,5,5,1,2,3,"Bối rối với cách học mới, môid quan hệ mới","Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên, Hỏi cố vấn học tập / giảng viên, Hỏi phòng ban liên quan trực tiếp (Đào tạo, CTSV...)",Bình thường,Không muốn hỏi trợ lý ảo,"Không quan trọng, miễn đúng và nhanh",
12/09/2026 15:33:59,Khoa học xã hội và nhân văn,Đã học được 1 năm trở lên,Chính quy,3,3,3,3,3,3,3,3,3,"Không tìm được bạn bè, nhóm phù hợp để cùng nhau học tập",Group Facebook / Zalo,Dễ,"Mua tập bài giảng ở đâu
Những giáo trình nào liên quan đến môn học
Tôi nên đọc những sách/ giáo trình gì để phục vụ cho ngành học của tôi",Trả lời kèm link/nguồn tài liệu tham khảo để đọc thêm,Không
15/09/2026 9:17:37,Thủy sản,Mới nhập học (chưa hết học kỳ 1),Chính quy,5,5,5,1,5,5,5,3,1,"Sơ đồ phòng học, thời gian đăng ký học phần, thời gian tự đánh giá điểm rèn luyện, làm sao để có học bổng","Website chính thức của trường/khoa, Group Facebook / Zalo",Bình thường,"cách tính điểm nhanh, cách xếp kế hoạch học tập, cách kiếm điểm rèn luyện cho từng mục",Trả lời chi tiết kèm giải thích,không có
