Câu hỏi (mẫu),Chủ đề,Intent,Từ khóa,"Câu trả lời (thật, có nguồn)",Nguồn,URL nguồn,Số biến thể câu hỏi trong file gốc
Sinh viên có thể vay vốn để trang trải việc học không?,Chính sách,vay_von,vay vốn sinh viên,"Có, theo Quyết định 157/2007/QĐ-TTg về tín dụng đối với HSSV. Bước 1: sinh viên/gia đình liên hệ Ngân hàng Chính sách Xã hội tại địa phương để được tư vấn lãi suất, hạn mức vay. Bước 2 (học kỳ đầu): dùng giấy báo trúng tuyển hoặc đăng ký giấy xác nhận trực tuyến; từ học kỳ 2 trở đi: đăng ký giấy xác nhận bổ sung hồ sơ vay vốn theo hướng dẫn trên hệ thống quản lý.",Cổng Tân sinh viên ĐHCT - Thủ tục vay vốn sinh viên tại NHCSXH,https://tansinhvien.ctu.edu.vn/dang-ky-xac-nhan-vay-von,2
Có chương trình vay vốn để đóng học phí không?,Chính sách,vay_dong_hoc_phi,vay đóng học phí,"Có chương trình vay vốn đóng học phí phối hợp với Ngân hàng ViettinBank, thông tin và mẫu đăng ký được công bố trên Cổng Tân sinh viên, mục Biểu mẫu.",Cổng Tân sinh viên ĐHCT - Vay vốn đóng học phí ViettinBank,https://tansinhvien.ctu.edu.vn/images/upload/Tansinhvien_K51/Bieumau/Vayvon_Viettinbank_2025_v2.pdf,2
Tân sinh viên khóa 52 có những học bổng nào?,Học bổng,hoc_bong,học bổng tân sinh viên,"Khóa 52 có khoảng 15 loại học bổng/quỹ tài trợ khác nhau, gồm: Tân sinh viên đặc biệt khó khăn, Khuyến học ĐHCT, VietHope, Hợp tác và Chia sẻ, học bổng của Hội khuyến học các tỉnh (An Giang, Đồng Tháp), Nữ sinh WEAV, Tiếp sức đến Trường, Tiền Trạng Nguyên Tây Đô, Khoai Tây Quê Hương, học bổng ngành Toán học, Sigma Gold, Sen Hồng, Phân bón Cà Mau - Hạt Ngọc Mùa Vàng, Quỹ Kiến tạo Cửu Long... Mỗi học bổng có thông báo và mẫu đơn riêng, xem danh sách đầy đủ trên Cổng Tân sinh viên.",Cổng Tân sinh viên ĐHCT - Tổng hợp học bổng tài trợ dành cho Tân sinh viên,https://tansinhvien.ctu.edu.vn/tong-hop-cac-hoc-bong-tai-tro-danh-cho-tan-sinh-vien,2
Học bổng Khuyến học Đại học Cần Thơ dành cho những đối tượng nào?,Học bổng,hoc_bong_khuyen_hoc,Khuyến học Đại học Cần Thơ,"Học bổng Khuyến học Đại học Cần Thơ có thông báo và mẫu đơn riêng, có thể đăng ký online qua Google Form. Sinh viên xem chi tiết điều kiện, đối tượng trong thông báo chính thức.",Cổng Tân sinh viên ĐHCT - Thông báo học bổng Khuyến học ĐHCT 2026,https://tansinhvien.ctu.edu.vn/images/upload/TSV_K52/Hocbongtaitro/10-8-2026_Thong_bao_hoc_bong_CTU_khuyenhoc_2026signed.pdf,2
Học bổng Hợp tác và Chia sẻ dành cho tân sinh viên có yêu cầu gì?,Học bổng,hoc_bong_hop_tac,Hợp tác và Chia sẻ,"Học bổng ""Hợp tác và Chia sẻ"" dành cho tân sinh viên có mẫu đơn riêng tải trên Cổng Tân sinh viên; điều kiện và yêu cầu cụ thể xem trong thông báo triển khai học bổng năm 2026.",Cổng Tân sinh viên ĐHCT - Thông báo học bổng Hợp tác và Chia sẻ 2026,https://tansinhvien.ctu.edu.vn/images/upload/TSV_K52/Hocbongtaitro/11-8-2026_thong_bao_trien_khai_hoc_bong_Hop_tac_va_Se_chia_2026signed.pdf,2
Tân sinh viên có hoàn cảnh khó khăn có thể tìm học bổng Tiếp sức đến trường ở đâu?,Học bổng,hoc_bong_tiep_suc,Tiếp sức đến trường,"Học bổng Tiếp sức đến Trường (phối hợp Báo Tuổi Trẻ) năm 2026 dành cho tân sinh viên có hoàn cảnh khó khăn, thông tin và cách nộp hồ sơ được công bố trong thông báo riêng trên Cổng Tân sinh viên.",Cổng Tân sinh viên ĐHCT - Thông báo học bổng Tiếp sức đến Trường 2026,https://tansinhvien.ctu.edu.vn/images/upload/TSV_K52/Hocbongtaitro/17-8-2026_Thng_bo_hc_bng_Tip_sc_n_trng_-_Bo_Tui_tr_nm_2026signed.pdf,2
Em muốn đăng ký KTX Đại học Cần Thơ thì bắt đầu từ đâu?,Ký túc xá,ky_tuc_xa,đăng ký KTX,"Đăng ký KTX: nếu chưa có tài khoản hệ thống, sinh viên điền form đăng ký nhu cầu (link Google Form) hoặc tải mẫu đơn để đăng ký trực tiếp tại KTX; nếu đã có tài khoản hệ thống quản lý thì đăng ký qua hệ thống theo hướng dẫn. Phòng ở có sức chứa 3-8 sinh viên/phòng, có wifi riêng từng phòng, có căn tin/siêu thị mini, có bảo vệ và camera an ninh. Phí ở tính theo học kỳ (HK1 2026-2027: từ 7/9 đến 18/12/2026, chưa gồm điện nước); miễn phí gửi xe đạp, phí gửi xe máy/điện 25.000đ/tháng.",Cổng Tân sinh viên ĐHCT - Hướng dẫn đăng ký ở Ký túc xá,https://tansinhvien.ctu.edu.vn/sinh-hoat/huong-dan-tan-sinh-vien-dang-ky-o-ky-tuc-xa,12
Nếu không ở KTX thì tân sinh viên có thể tìm thông tin nhà trọ ở đâu?,Nhà trọ,nha_tro,hỗ trợ tìm nhà trọ,"Nếu không ở KTX, trường có công cụ Bản đồ nhà trọ sinh viên hỗ trợ tân sinh viên tìm chỗ trọ quanh khu vực trường.",Cổng Tân sinh viên ĐHCT - Hỗ trợ tìm nhà trọ,https://ban-do-nha-tro-sinh-vien.hotrotansinhvien-ctu.workers.dev/,2
Tân sinh viên nhận thẻ và sử dụng hệ thống thư viện như thế nào?,Thẻ sinh viên,the_sinh_vien,thẻ và thư viện,"Tân sinh viên được hướng dẫn làm thẻ sinh viên tích hợp thẻ thư viện theo tài liệu hướng dẫn riêng, xem tại Cổng Tân sinh viên mục Sinh hoạt.",Cổng Tân sinh viên ĐHCT - Hướng dẫn làm thẻ sinh viên tích hợp thẻ thư viện,https://tansinhvien.ctu.edu.vn/images/upload/TSV_K52/Thongbao/ThuVien_DHCT_V2.pdf,2
Em cần giấy xác nhận sinh viên thì liên hệ đơn vị nào?,Thủ tục,giay_xac_nhan,giấy xác nhận,"Tùy mục đích: xác nhận bổ sung hồ sơ cá nhân (giảm trừ thuế, mua hàng giảm giá, học bổng, thẻ thư viện...) nộp mẫu đơn tại Văn phòng Khoa/Viện/Trường; xác nhận hưởng trợ cấp/ưu đãi giáo dục tại địa phương nộp tại Phòng CTSV.",Phòng CTSV ĐHCT - FAQ về giấy xác nhận sinh viên,https://dsa.ctu.edu.vn/thong-bao/nhung-cau-hoi-thuong-gap/2-cac-cau-hoi-ve-viec-xin-giay-xac-nhan-sinh-vien.html,2
Tân sinh viên muốn làm giấy xác nhận tạm hoãn nghĩa vụ quân sự thì xem hướng dẫn ở đâu?,Thủ tục,tam_hoan_nvqs,tạm hoãn nghĩa vụ quân sự,"Có 2 cách đăng ký giấy xác nhận tạm hoãn nghĩa vụ quân sự: (1) qua app MyCTUs theo hướng dẫn video, hoặc (2) đăng ký trực tuyến trên hệ thống quản lý của trường.",Phòng CTSV ĐHCT - FAQ về giấy xác nhận sinh viên,https://dsa.ctu.edu.vn/thong-bao/nhung-cau-hoi-thuong-gap/2-cac-cau-hoi-ve-viec-xin-giay-xac-nhan-sinh-vien.html,2
Lịch sinh hoạt đầu khóa của tân sinh viên xem ở đâu?,Sinh hoạt,sinh_hoat_dau_khoa,sinh hoạt đầu khóa,"Kế hoạch sinh hoạt đầu năm, đầu khóa học được công bố dưới dạng thông báo PDF trên Cổng Tân sinh viên (khóa 52: thông báo ngày 30/7/2026).",Cổng Tân sinh viên ĐHCT - Kế hoạch sinh hoạt đầu năm,https://tansinhvien.ctu.edu.vn/images/upload/TSV_K52/Thongbao/30-7-2026_KH_SHNAM_26signedsignedsignedsigned.pdf,2
Khi có vấn đề về tuyển sinh hoặc học tập thì liên hệ Phòng Đào tạo bằng cách nào?,Sinh viên,lien_he,Phòng Đào tạo,"Phòng Đào tạo (tuyển sinh, học tập, giấy báo trúng tuyển, V-SAT): 02923.508.703 / 02923.508.704 / 02923.872.728. Phòng Công tác Sinh viên (chế độ chính sách, hồ sơ, học bổng, bảo hiểm): 0292.3872.177. Đoàn Thanh niên trường (công tác đoàn, hội): 0292.3830.309. TT. Đánh giá năng lực ngoại ngữ (kiểm tra ngoại ngữ đầu khóa): 0292.3872.295.",Cổng Tân sinh viên ĐHCT - Thông tin liên hệ hỗ trợ,https://tansinhvien.ctu.edu.vn/,4
Điểm rèn luyện được tính như thế nào?,Điểm rèn luyện,diem_ren_luyen_cach_tinh,"điểm rèn luyện, cách tính, thang điểm","Điểm rèn luyện được tính theo thang 100, cộng dồn từ 5 nội dung (Điều 4 đến Điều 8) gồm: ý thức tham gia học tập; ý thức chấp hành nội quy, quy chế của nhà trường; ý thức tham gia hoạt động chính trị - xã hội, văn hóa, thể thao, phòng chống tệ nạn; ý thức công dân trong quan hệ cộng đồng; và ý thức, kết quả khi tham gia công tác cán bộ lớp, các đoàn thể, tổ chức trong nhà trường. Mỗi nội dung có khung điểm tối đa riêng, tổng cộng tối đa 100 điểm.",Quy chế đánh giá kết quả rèn luyện (QĐ 6175/QĐ-ĐHCT),raw/diem_ren_luyen/Quy_che_diem_ren_luyen.pdf,1
"Điểm rèn luyện bao nhiêu thì được xếp loại Xuất sắc, Tốt, Khá?",Điểm rèn luyện,diem_ren_luyen_xep_loai,"xếp loại điểm rèn luyện, xuất sắc, tốt, khá, trung bình, yếu, kém",Phân loại kết quả rèn luyện theo Điều 9 của Quy chế: từ 90-100 điểm là loại Xuất sắc; từ 80 đến dưới 90 là loại Tốt; từ 65 đến dưới 80 là loại Khá; từ 50 đến dưới 65 là loại Trung bình; từ 35 đến dưới 50 là loại Yếu; dưới 35 điểm là loại Kém.,Quy chế đánh giá kết quả rèn luyện (QĐ 6175/QĐ-ĐHCT) - Điều 9,raw/diem_ren_luyen/Quy_che_diem_ren_luyen.pdf,1
Điểm rèn luyện dùng để làm gì?,Điểm rèn luyện,diem_ren_luyen_muc_dich,"điểm rèn luyện dùng để làm gì, xét học bổng, khen thưởng","Kết quả đánh giá rèn luyện từng học kỳ được lưu trong hồ sơ quản lý sinh viên và dùng làm căn cứ trong xét duyệt học bổng, xét khen thưởng - kỷ luật, xét thôi học/ngừng học, xét lưu trú ký túc xá, xét giải quyết việc làm thêm, xét miễn giảm chi phí, dịch vụ và sinh hoạt trong ký túc xá. Kết quả rèn luyện toàn khóa còn là căn cứ để xét thi tốt nghiệp, làm luận văn/khóa luận tốt nghiệp, và được ghi vào bảng điểm kết quả học tập khi ra trường.",Quy chế đánh giá kết quả rèn luyện (QĐ 6175/QĐ-ĐHCT) - Điều 14,raw/diem_ren_luyen/Quy_che_diem_ren_luyen.pdf,1
Nếu điểm rèn luyện thấp thì bị làm sao?,Điểm rèn luyện,diem_ren_luyen_yeu_kem,"điểm rèn luyện yếu kém, tạm ngừng học, buộc thôi học","Sinh viên bị xếp loại rèn luyện Yếu hoặc Kém trong hai học kỳ liên tiếp thì phải tạm ngừng học ít nhất một học kỳ ở học kỳ tiếp theo. Nếu tiếp tục bị xếp loại Yếu, Kém trong hai học kỳ liên tiếp lần thứ hai thì sẽ bị buộc thôi học.",Quy chế đánh giá kết quả rèn luyện (QĐ 6175/QĐ-ĐHCT) - Mục 6.5,raw/diem_ren_luyen/Quy_che_diem_ren_luyen.pdf,1
Đạt danh hiệu Sinh viên 5 tốt thì được cộng bao nhiêu điểm rèn luyện?,Điểm rèn luyện,diem_ren_luyen_sv5tot,"sinh viên 5 tốt, cộng điểm rèn luyện","Theo khung điểm Điều 8, sinh viên đạt danh hiệu Sinh viên 5 tốt cấp trường trở lên được cộng 6 điểm rèn luyện; đạt danh hiệu Sinh viên 5 tốt cấp Khoa được cộng 4 điểm.",Quy chế đánh giá kết quả rèn luyện (QĐ 6175/QĐ-ĐHCT) - Điều 8,raw/diem_ren_luyen/Quy_che_diem_ren_luyen.pdf,1
Nếu không đồng ý với điểm rèn luyện được đánh giá thì làm sao?,Điểm rèn luyện,diem_ren_luyen_khieu_nai,khiếu nại điểm rèn luyện,"Sinh viên có quyền khiếu nại lên phòng, ban chức năng hoặc Hiệu trưởng nếu thấy việc đánh giá kết quả rèn luyện chưa chính xác. Khi nhận được đơn khiếu nại, cơ sở giáo dục đại học có trách nhiệm giải quyết, trả lời theo quy định của pháp luật về khiếu nại.",Quy chế đánh giá kết quả rèn luyện (QĐ 6175/QĐ-ĐHCT) - Điều 15,raw/diem_ren_luyen/Quy_che_diem_ren_luyen.pdf,1
Khi nào sinh viên nộp bảng đánh giá điểm rèn luyện?,Điểm rèn luyện,diem_ren_luyen_thoi_gian_nop,"thời gian nộp điểm rèn luyện, mốc thời gian","Các đơn vị gửi văn bản đề nghị khen thưởng, kỷ luật về cấp Khoa theo mốc: Học kỳ 1 trước ngày 24/11; Học kỳ 2 trước ngày 31/3; Học kỳ 3 trước ngày 28/7. Cấp Khoa gửi tổng kết điểm rèn luyện về Hội đồng đánh giá cấp Trường (qua Phòng Công tác Sinh viên) theo mốc: Học kỳ 1 trước 29/12; Học kỳ 2 trước 12/5; Học kỳ 3 trước 08/9.",Quy chế đánh giá kết quả rèn luyện (QĐ 6175/QĐ-ĐHCT) - Mục 2,raw/diem_ren_luyen/Quy_che_diem_ren_luyen.pdf,1
Sinh viên bị kỷ luật thì điểm rèn luyện có bị ảnh hưởng không?,Điểm rèn luyện,diem_ren_luyen_ky_luat,"kỷ luật, khiển trách, cảnh cáo, đình chỉ học","Có. Trong thời gian bị kỷ luật mức khiển trách, kết quả rèn luyện không được vượt quá loại Khá. Trong thời gian bị kỷ luật mức cảnh cáo, kết quả rèn luyện không được vượt quá loại Trung bình. Sinh viên bị kỷ luật mức đình chỉ học tập không được đánh giá rèn luyện trong thời gian bị đình chỉ; bị kỷ luật mức buộc thôi học thì không được đánh giá kết quả rèn luyện.",Quy chế đánh giá kết quả rèn luyện (QĐ 6175/QĐ-ĐHCT) - Điều 10,raw/diem_ren_luyen/Quy_che_diem_ren_luyen.pdf,1
Lịch đăng ký học phần HK1 2026-2027 như thế nào?,Đăng ký học phần,dang_ky_hoc_phan_lich,"lịch đăng ký học phần, thời gian đăng ký",Theo kế hoạch HK1 năm học 2026-2027 (diễn ra 07/9/2026-20/12/2026): thời khóa biểu các lớp học phần công bố 28/7-02/8/2026; sinh viên lập thời khóa biểu cá nhân và đăng ký học phần đợt 1 từ 03/8-16/8/2026; điều chỉnh kế hoạch học tập từ 08/8-16/8/2026; bắt đầu giảng dạy học kỳ ngày 07/9/2026; sinh viên điều chỉnh đăng ký học phần đợt 2 (tuần đầu học kỳ) từ 07/9-13/9/2026.,Kế hoạch đăng ký học phần HK1 2026-2027 (CV 2321/ĐHCT-ĐT),raw/dang_ky_hoc_phan/Ke_hoach_dang_ky_hoc_phan_HK1_2026_2027.pdf,1
"Các khóa đăng ký học phần theo thứ tự nào, khóa nào đăng ký trước?",Đăng ký học phần,dang_ky_hoc_phan_phan_nhom,"phân nhóm đăng ký, khóa 48 49 50 51","Đợt 1 đăng ký học phần (03/8-16/8/2026) được phân chia theo khóa và nhóm đơn vị (6 nhóm theo Trường/Khoa). Khóa 48 trở về trước đăng ký từ ngày 03/8/2026, Khóa 49 từ 04/8/2026, Khóa 50 từ 05/8/2026, Khóa 51 từ 06/8/2026, mỗi khóa có khung giờ bắt đầu riêng theo từng nhóm đơn vị trong ngày.",Kế hoạch đăng ký học phần HK1 2026-2027 (CV 2321/ĐHCT-ĐT),raw/dang_ky_hoc_phan/Ke_hoach_dang_ky_hoc_phan_HK1_2026_2027.pdf,1
Nếu chưa đăng ký học phần kịp thì làm sao?,Đăng ký học phần,dang_ky_hoc_phan_tre_han,"chưa đăng ký, đăng ký trễ, bổ sung","Từ 08/8/2026 đến 16/8/2026, sinh viên chưa nhập kế hoạch học tập học kỳ phải truy cập website nhập kế hoạch học tập để điều chỉnh và đăng ký. Tuy nhiên trong thời gian này nếu sĩ số lớp học phần đã hết chỗ thì sinh viên sẽ không được xem xét bổ sung.",Kế hoạch đăng ký học phần HK1 2026-2027 (CV 2321/ĐHCT-ĐT) - Mục Lưu ý,raw/dang_ky_hoc_phan/Ke_hoach_dang_ky_hoc_phan_HK1_2026_2027.pdf,1
Sinh viên khóa Công nghệ thông tin & Truyền thông thuộc nhóm đăng ký học phần nào?,Đăng ký học phần,dang_ky_hoc_phan_nhom_donvi,"nhóm đơn vị, CNTT, Thủy sản","Theo phân chia nhóm đăng ký học phần trực tuyến, các chuyên ngành thuộc Trường Công nghệ Thông tin & Truyền thông và Trường Thủy sản được xếp vào Nhóm 6.",Kế hoạch đăng ký học phần HK1 2026-2027 (CV 2321/ĐHCT-ĐT),raw/dang_ky_hoc_phan/Ke_hoach_dang_ky_hoc_phan_HK1_2026_2027.pdf,1
Học bổng khuyến khích học tập được xét dựa trên tiêu chí gì?,Học bổng,hoc_bong_khuyen_khich_tieu_chi,"học bổng khuyến khích học tập, tiêu chí xét","Học bổng khuyến khích học tập được xét dựa vào kết quả học tập và rèn luyện của học kỳ chính liền trước đó. Riêng học bổng của học kỳ đầu tiên đối với sinh viên khóa mới trúng tuyển thì căn cứ vào kết quả trúng tuyển kỳ thi tuyển sinh (không tính điểm ưu tiên). Quỹ học bổng được phân bổ cho từng lớp chuyên ngành theo Quy chế chi tiêu nội bộ của Trường, danh sách dự kiến sẽ công bố trên website và tiếp nhận phản ánh trong 2 tuần.",Công tác sinh viên - Phòng CTSV,raw/hoc_bong_ctsv/Cong_tac_sinh_vien.pdf,1
Điểm rèn luyện có ảnh hưởng đến việc xét học bổng không?,Học bổng,hoc_bong_lien_quan_diem_ren_luyen,"học bổng, điểm rèn luyện, mục đích","Có. Một trong những mục đích chính của việc đánh giá điểm rèn luyện là làm căn cứ xét học bổng khuyến khích học tập, cùng với khen thưởng năm học và khen thưởng tốt nghiệp.",Công tác sinh viên - Phòng CTSV,raw/hoc_bong_ctsv/Cong_tac_sinh_vien.pdf,1
Danh sách dự kiến được cấp học bổng công bố ở đâu và sinh viên có thể phản hồi không?,Học bổng,hoc_bong_cong_bo_danh_sach,"danh sách học bổng, phản hồi, khiếu nại học bổng",Danh sách sinh viên dự kiến được cấp học bổng theo từng lớp chuyên ngành sẽ được công bố trên website và gửi về các đơn vị đào tạo. Sinh viên có 2 tuần để phản ánh thông tin nếu thấy chưa chính xác.,Công tác sinh viên - Phòng CTSV,raw/hoc_bong_ctsv/Cong_tac_sinh_vien.pdf,1
Thời gian ở KTX học kỳ 1 năm học 2026-2027 là bao lâu?,Ký túc xá,ktx_thoi_gian_o,"thời gian ở KTX, học kỳ 1","Thời gian ở KTX học kỳ 1 năm học 2026-2027 là 3,5 tháng, tính từ ngày 07/9/2026 đến 18/12/2026.",Thông báo đăng ký ở KTX HK1 2026-2027 (TB 307/TB-CTSV),raw/ktx/Thong_bao_dang_ky_KTX_HK1_2026_2027.pdf,1
